Department,Vote,App ID,Parent ID,Appropriation Name,Category Name,Group Type,Appropriation or Category Type,Restriction Type,Functional Classification,Amount $000,Year,Amount Type,Periodicity,Current Scope,M Number,Portfolio Name
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,5078,2022,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,5422,2023,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,150,2024,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,150,2025,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,7940,2026,Estimated Actual,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,9314,9314,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,,Core Government Services,7123,2027,Main Estimates,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,93468,2022,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,110928,2023,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,129916,2024,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
Controller and Auditor-General,Audit,8783,8783,Audit and Assurance Services,Audit and Assurance Services,Single,Departmental Output Expenses,Revenue Dependent,Core Government Services,133904,2025,Actuals,A,This appropriation is limited to audit and related assurance services as required or authorised by statute.,78,Speaker of the House of Representatives
